pr,repo,number,path,additions,deletions
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_landscape_lg_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_landscape_lg_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_landscape_lg_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_landscape_lg_4.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_portrait_md_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_square_md_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_square_md_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_square_md_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_square_md_4.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_square_md_5.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_catalog_square_md_6.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/set_doers_portrait_lg_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/ultrawide_lg_1.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/ultrawide_lg_2.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/ultrawide_lg_3.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/ultrawide_lg_4.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/ultrawide_lg_5.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/img/configurator/ultrawide_lg_6.webp,0,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/js/tour.js,48,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/static/src/scss/primary_variables.scss,118,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/views/global_customizations.xml,141,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/views/homepage_customizations.xml,36,0
odoo/design-themes#1254,odoo/design-themes,1254,theme_brutalist/views/images.xml,258,0
odoo/design-themes#1256,odoo/design-themes,1256,test_themes/tests/test_new_page_templates.py,1,3
odoo/design-themes#1256,odoo/design-themes,1256,theme_anelusia/__manifest__.py,0,1
odoo/design-themes#1256,odoo/design-themes,1256,theme_anelusia/views/new_page_template.xml,0,143
odoo/design-themes#1256,odoo/design-themes,1256,theme_artists/__manifest__.py,0,2
odoo/design-themes#1256,odoo/design-themes,1256,theme_artists/views/new_page_template.xml,0,324
odoo/design-themes#1256,odoo/design-themes,1256,theme_artists/views/snippets/s_countdown.xml,0,11
odoo/design-themes#1256,odoo/design-themes,1256,theme_artists/views/snippets/s_numbers_boxed.xml,1,1
odoo/design-themes#1256,odoo/design-themes,1256,theme_avantgarde/__manifest__.py,0,1
odoo/design-themes#1256,odoo/design-themes,1256,theme_avantgarde/views/new_page_template.xml,0,95
odoo/design-themes#1256,odoo/design-themes,1256,theme_aviato/__manifest__.py,0,1
odoo/design-themes#1256,odoo/design-themes,1256,theme_aviato/views/new_page_template.xml,0,162
odoo/design-themes#1256,odoo/design-themes,1256,theme_beauty/__manifest__.py,0,1
odoo/design-themes#1256,odoo/design-themes,1256,theme_beauty/views/new_page_template.xml,0,132
odoo/design-themes#1256,odoo/design-themes,1256,theme_bewise/__manifest__.py,0,1
odoo/design-themes#1256,odoo/design-themes,1256,theme_bewise/views/new_page_template.xml,0,164
odoo/design-themes#1256,odoo/design-themes,1256,theme_bistro/__manifest__.py,0,2
odoo/design-themes#1256,odoo/design-themes,1256,theme_bistro/views/new_page_template.xml,0,371
odoo/design-themes#1256,odoo/design-themes,1256,theme_bistro/views/snippets/s_wavy_grid.xml,5,3
odoo/design-themes#1256,odoo/design-themes,1256,theme_bookstore/__manifest__.py,0,14
